Group,ATZ,D,ME,AppRate,Weight,SA,Media,Pesticide,Conc
ATZME,1,-1,1,54.5,2.4907,1.918371472,Amphib,DT,0
ATZME,1,-1,1,54.5,1.8136,1.596460353,Amphib,DT,0
ATZME,1,-1,1,54.5,2.7419,2.028123924,Amphib,DT,0
MED,-1,1,1,45.2,2.2984,1.831167344,Amphib,DT,0.078111813
MED,-1,1,1,45.2,1.5863,1.477357862,Amphib,DT,0.02218048
MED,-1,1,1,45.2,1.8205,1.599974314,Amphib,DT,0.036982547
MED,-1,1,1,45.2,1.6197,1.495289308,Amphib,DT,0.080271609
MED,-1,1,1,45.2,0.9634,1.1068446,Amphib,DT,0.050444413
MED,-1,1,1,45.2,2.2634,1.814969805,Amphib,DT,0.086351225
ATZMED,1,1,1,68.8,0.9971,1.129099777,Amphib,DT,0.104347435
ATZMED,1,1,1,68.8,2.0136,1.69614544,Amphib,DT,0.262662032
ATZMED,1,1,1,68.8,1.7687,1.573455166,Amphib,DT,0.156953688
ATZMED,1,1,1,68.8,1.6929,1.534052174,Amphib,DT,0.165951211
ATZMED,1,1,1,68.8,2.2402,1.804174989,Amphib,DT,0.38456094
ATZMED,1,1,1,68.8,2.7643,2.037700821,Amphib,DT,0.076429258
D,-1,1,-1,14.3,2.541,1.940708491,Amphib,ATZT,0
D,-1,1,-1,14.3,1.9682,1.673896833,Amphib,ATZT,0
D,-1,1,-1,14.3,2.6828,2.002696917,Amphib,ATZT,0
D,-1,1,-1,14.3,1.6688,1.521369444,Amphib,ATZT,0
D,-1,1,-1,14.3,2.0942,1.735130392,Amphib,ATZT,0
D,-1,1,-1,14.3,1.7835,1.581065047,Amphib,ATZT,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Amphib,ATZT,71.52121587
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Amphib,ATZT,25.08110461
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Amphib,ATZT,19.38292403
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Amphib,ATZT,25.87712484
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Amphib,ATZT,6.776429551
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Amphib,ATZT,42.67128214
ME,-1,-1,1,30.9,1.1019,1.196362878,Amphib,ATZT,0
ME,-1,-1,1,30.9,2.9835,2.129751748,Amphib,ATZT,0
ME,-1,-1,1,30.9,1.2984,1.315606863,Amphib,ATZT,0
ME,-1,-1,1,30.9,2.6159,1.973627754,Amphib,ATZT,0
ME,-1,-1,1,30.9,2.4927,1.919263229,Amphib,ATZT,0
ME,-1,-1,1,30.9,1.2846,1.307492569,Amphib,ATZT,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,Amphib,ATZT,0.079700165
ATZD,1,1,-1,37.9,2.8407,2.070121781,Amphib,ATZT,25.49430275
ATZD,1,1,-1,37.9,2.2087,1.789442601,Amphib,ATZT,30.38948929
ATZD,1,1,-1,37.9,1.6348,1.503344888,Amphib,ATZT,4.398786764
ATZD,1,1,-1,37.9,1.686,1.530428829,Amphib,ATZT,34.87420323
ATZD,1,1,-1,37.9,2.0948,1.73541821,Amphib,ATZT,5.783764403
ATZME,1,-1,1,54.5,2.0979,1.736904716,Amphib,ATZT,23.94075151
ATZME,1,-1,1,54.5,1.8523,1.616097145,Amphib,ATZT,20.57274567
ATZME,1,-1,1,54.5,1.8649,1.622453161,Amphib,ATZT,1.22063448
ATZME,1,-1,1,54.5,2.4907,1.918371472,Amphib,ATZT,40.42981243
ATZME,1,-1,1,54.5,1.8136,1.596460353,Amphib,ATZT,20.35015638
ATZME,1,-1,1,54.5,2.7419,2.028123924,Amphib,ATZT,10.6958582
MED,-1,1,1,45.2,2.2984,1.831167344,Amphib,ATZT,0
MED,-1,1,1,45.2,1.5863,1.477357862,Amphib,ATZT,0
MED,-1,1,1,45.2,1.8205,1.599974314,Amphib,ATZT,0
MED,-1,1,1,45.2,1.6197,1.495289308,Amphib,ATZT,0
MED,-1,1,1,45.2,0.9634,1.1068446,Amphib,ATZT,0
MED,-1,1,1,45.2,2.2634,1.814969805,Amphib,ATZT,0
ATZMED,1,1,1,68.8,0.9971,1.129099777,Amphib,ATZT,24.80672939
ATZMED,1,1,1,68.8,2.0136,1.69614544,Amphib,ATZT,17.23251263
ATZMED,1,1,1,68.8,1.7687,1.573455166,Amphib,ATZT,23.76512465
ATZMED,1,1,1,68.8,1.6929,1.534052174,Amphib,ATZT,32.23101361
ATZMED,1,1,1,68.8,2.2402,1.804174989,Amphib,ATZT,3.945905477
ATZMED,1,1,1,68.8,2.7643,2.037700821,Amphib,ATZT,72.62672175
D,-1,1,-1,14.3,2.541,1.940708491,Amphib,MET,0
D,-1,1,-1,14.3,1.9682,1.673896833,Amphib,MET,0
D,-1,1,-1,14.3,2.6828,2.002696917,Amphib,MET,0
D,-1,1,-1,14.3,1.6688,1.521369444,Amphib,MET,0
D,-1,1,-1,14.3,2.0942,1.735130392,Amphib,MET,0
D,-1,1,-1,14.3,1.7835,1.581065047,Amphib,MET,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Amphib,MET,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Amphib,MET,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Amphib,MET,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Amphib,MET,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Amphib,MET,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Amphib,MET,0
ME,-1,-1,1,30.9,1.1019,1.196362878,Amphib,MET,4.795233731
ME,-1,-1,1,30.9,2.9835,2.129751748,Amphib,MET,0.81982627
ME,-1,-1,1,30.9,1.2984,1.315606863,Amphib,MET,1.930289923
ME,-1,-1,1,30.9,2.6159,1.973627754,Amphib,MET,2.17788472
ME,-1,-1,1,30.9,2.4927,1.919263229,Amphib,MET,8.198402807
ME,-1,-1,1,30.9,1.2846,1.307492569,Amphib,MET,8.053698309
ATZD,1,1,-1,37.9,3.5987,2.37394653,Amphib,MET,0
ATZD,1,1,-1,37.9,2.8407,2.070121781,Amphib,MET,0
ATZD,1,1,-1,37.9,2.2087,1.789442601,Amphib,MET,0
ATZD,1,1,-1,37.9,1.6348,1.503344888,Amphib,MET,0
ATZD,1,1,-1,37.9,1.686,1.530428829,Amphib,MET,0
ATZD,1,1,-1,37.9,2.0948,1.73541821,Amphib,MET,0
ATZME,1,-1,1,54.5,2.0979,1.736904716,Amphib,MET,18.90724611
ATZME,1,-1,1,54.5,1.8523,1.616097145,Amphib,MET,6.907670877
ATZME,1,-1,1,54.5,1.8649,1.622453161,Amphib,MET,0.149639783
ATZME,1,-1,1,54.5,2.4907,1.918371472,Amphib,MET,20.39940997
ATZME,1,-1,1,54.5,1.8136,1.596460353,Amphib,MET,12.43368085
ATZME,1,-1,1,54.5,2.7419,2.028123924,Amphib,MET,1.776787088
MED,-1,1,1,45.2,2.2984,1.831167344,Amphib,MET,5.026680818
MED,-1,1,1,45.2,1.5863,1.477357862,Amphib,MET,1.337994897
MED,-1,1,1,45.2,1.8205,1.599974314,Amphib,MET,1.761326684
MED,-1,1,1,45.2,1.6197,1.495289308,Amphib,MET,0.724555439
MED,-1,1,1,45.2,0.9634,1.1068446,Amphib,MET,0.662223621
MED,-1,1,1,45.2,2.2634,1.814969805,Amphib,MET,0.508831642
ATZMED,1,1,1,68.8,0.9971,1.129099777,Amphib,MET,7.203617706
ATZMED,1,1,1,68.8,2.0136,1.69614544,Amphib,MET,11.13214931
ATZMED,1,1,1,68.8,1.7687,1.573455166,Amphib,MET,9.950841611
ATZMED,1,1,1,68.8,1.6929,1.534052174,Amphib,MET,10.44074438
ATZMED,1,1,1,68.8,2.2402,1.804174989,Amphib,MET,16.86405718
ATZMED,1,1,1,68.8,2.7643,2.037700821,Amphib,MET,0.931411968
D,-1,1,-1,14.3,2.541,1.940708491,Soil,DS,0.748226096
D,-1,1,-1,14.3,1.9682,1.673896833,Soil,DS,0.265299866
D,-1,1,-1,14.3,2.6828,2.002696917,Soil,DS,0.49100957
D,-1,1,-1,14.3,1.6688,1.521369444,Soil,DS,0.667150366
D,-1,1,-1,14.3,2.0942,1.735130392,Soil,DS,0.163864253
D,-1,1,-1,14.3,1.7835,1.581065047,Soil,DS,0.361726536
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Soil,DS,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Soil,DS,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Soil,DS,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Soil,DS,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Soil,DS,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Soil,DS,0
ME,-1,-1,1,30.9,1.1019,1.196362878,Soil,DS,0
ME,-1,-1,1,30.9,2.9835,2.129751748,Soil,DS,0
ME,-1,-1,1,30.9,1.2984,1.315606863,Soil,DS,0
ME,-1,-1,1,30.9,2.6159,1.973627754,Soil,DS,0
ME,-1,-1,1,30.9,2.4927,1.919263229,Soil,DS,0
ME,-1,-1,1,30.9,1.2846,1.307492569,Soil,DS,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,Soil,DS,0.223020222
ATZD,1,1,-1,37.9,2.8407,2.070121781,Soil,DS,0.577695811
ATZD,1,1,-1,37.9,2.2087,1.789442601,Soil,DS,0.889122815
ATZD,1,1,-1,37.9,1.6348,1.503344888,Soil,DS,1.002095183
ATZD,1,1,-1,37.9,1.686,1.530428829,Soil,DS,1.034746405
ATZD,1,1,-1,37.9,2.0948,1.73541821,Soil,DS,0.608611627
ATZME,1,-1,1,54.5,2.0979,1.736904716,Soil,DS,0
ATZME,1,-1,1,54.5,1.8523,1.616097145,Soil,DS,0
ATZME,1,-1,1,54.5,1.8649,1.622453161,Soil,DS,0
ATZME,1,-1,1,54.5,2.4907,1.918371472,Soil,DS,0
ATZME,1,-1,1,54.5,1.8136,1.596460353,Soil,DS,0
ATZME,1,-1,1,54.5,2.7419,2.028123924,Soil,DS,0
MED,-1,1,1,45.2,2.2984,1.831167344,Soil,DS,0.464765188
MED,-1,1,1,45.2,1.5863,1.477357862,Soil,DS,0.400368972
MED,-1,1,1,45.2,1.8205,1.599974314,Soil,DS,0.398558198
MED,-1,1,1,45.2,1.6197,1.495289308,Soil,DS,0.310828143
MED,-1,1,1,45.2,0.9634,1.1068446,Soil,DS,0.269266538
MED,-1,1,1,45.2,2.2634,1.814969805,Soil,DS,0.268444446
ATZMED,1,1,1,68.8,0.9971,1.129099777,Soil,DS,2.060160249
ATZMED,1,1,1,68.8,2.0136,1.69614544,Soil,DS,0.364100418
ATZMED,1,1,1,68.8,1.7687,1.573455166,Soil,DS,0.196000747
ATZMED,1,1,1,68.8,1.6929,1.534052174,Soil,DS,0.545837075
ATZMED,1,1,1,68.8,2.2402,1.804174989,Soil,DS,1.691436329
ATZMED,1,1,1,68.8,2.7643,2.037700821,Soil,DS,0.214004758
D,-1,1,-1,14.3,2.541,1.940708491,Soil,ATZS,0
D,-1,1,-1,14.3,1.9682,1.673896833,Soil,ATZS,0
D,-1,1,-1,14.3,2.6828,2.002696917,Soil,ATZS,0
D,-1,1,-1,14.3,1.6688,1.521369444,Soil,ATZS,0
D,-1,1,-1,14.3,2.0942,1.735130392,Soil,ATZS,0
D,-1,1,-1,14.3,1.7835,1.581065047,Soil,ATZS,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Soil,ATZS,12.69771491
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Soil,ATZS,19.53422036
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Soil,ATZS,13.95176297
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Soil,ATZS,15.08549153
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Soil,ATZS,13.7795504
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Soil,ATZS,19.94532486
ME,-1,-1,1,30.9,1.1019,1.196362878,Soil,ATZS,0
ME,-1,-1,1,30.9,2.9835,2.129751748,Soil,ATZS,0
ME,-1,-1,1,30.9,1.2984,1.315606863,Soil,ATZS,0
ME,-1,-1,1,30.9,2.6159,1.973627754,Soil,ATZS,0
ME,-1,-1,1,30.9,2.4927,1.919263229,Soil,ATZS,0
ME,-1,-1,1,30.9,1.2846,1.307492569,Soil,ATZS,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,Soil,ATZS,19.44494185
ATZD,1,1,-1,37.9,2.8407,2.070121781,Soil,ATZS,24.56342025
ATZD,1,1,-1,37.9,2.2087,1.789442601,Soil,ATZS,19.94192561
ATZD,1,1,-1,37.9,1.6348,1.503344888,Soil,ATZS,30.12097404
ATZD,1,1,-1,37.9,1.686,1.530428829,Soil,ATZS,32.99061237
ATZD,1,1,-1,37.9,2.0948,1.73541821,Soil,ATZS,25.52512934
ATZME,1,-1,1,54.5,2.0979,1.736904716,Soil,ATZS,29.88147648
ATZME,1,-1,1,54.5,1.8523,1.616097145,Soil,ATZS,32.42308149
ATZME,1,-1,1,54.5,1.8649,1.622453161,Soil,ATZS,24.54042533
ATZME,1,-1,1,54.5,2.4907,1.918371472,Soil,ATZS,27.24279867
ATZME,1,-1,1,54.5,1.8136,1.596460353,Soil,ATZS,28.25567985
ATZME,1,-1,1,54.5,2.7419,2.028123924,Soil,ATZS,27.84221841
MED,-1,1,1,45.2,2.2984,1.831167344,Soil,ATZS,0
MED,-1,1,1,45.2,1.5863,1.477357862,Soil,ATZS,0
MED,-1,1,1,45.2,1.8205,1.599974314,Soil,ATZS,0
MED,-1,1,1,45.2,1.6197,1.495289308,Soil,ATZS,0
MED,-1,1,1,45.2,0.9634,1.1068446,Soil,ATZS,0
MED,-1,1,1,45.2,2.2634,1.814969805,Soil,ATZS,0
ATZMED,1,1,1,68.8,0.9971,1.129099777,Soil,ATZS,31.60985127
ATZMED,1,1,1,68.8,2.0136,1.69614544,Soil,ATZS,23.34517258
ATZMED,1,1,1,68.8,1.7687,1.573455166,Soil,ATZS,38.56860456
ATZMED,1,1,1,68.8,1.6929,1.534052174,Soil,ATZS,24.52551445
ATZMED,1,1,1,68.8,2.2402,1.804174989,Soil,ATZS,35.8819455
ATZMED,1,1,1,68.8,2.7643,2.037700821,Soil,ATZS,20.57289632
D,-1,1,-1,14.3,2.541,1.940708491,Soil,MES,0
D,-1,1,-1,14.3,1.9682,1.673896833,Soil,MES,0
D,-1,1,-1,14.3,2.6828,2.002696917,Soil,MES,0
D,-1,1,-1,14.3,1.6688,1.521369444,Soil,MES,0
D,-1,1,-1,14.3,2.0942,1.735130392,Soil,MES,0
D,-1,1,-1,14.3,1.7835,1.581065047,Soil,MES,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Soil,MES,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Soil,MES,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Soil,MES,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Soil,MES,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Soil,MES,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Soil,MES,0
ME,-1,-1,1,30.9,1.1019,1.196362878,Soil,MES,25.97878604
ME,-1,-1,1,30.9,2.9835,2.129751748,Soil,MES,19.46976495
ME,-1,-1,1,30.9,1.2984,1.315606863,Soil,MES,35.36756212
ME,-1,-1,1,30.9,2.6159,1.973627754,Soil,MES,33.63073958
ME,-1,-1,1,30.9,2.4927,1.919263229,Soil,MES,30.86627037
ME,-1,-1,1,30.9,1.2846,1.307492569,Soil,MES,76.0357331
ATZD,1,1,-1,37.9,3.5987,2.37394653,Soil,MES,0
ATZD,1,1,-1,37.9,2.8407,2.070121781,Soil,MES,0
ATZD,1,1,-1,37.9,2.2087,1.789442601,Soil,MES,0
ATZD,1,1,-1,37.9,1.6348,1.503344888,Soil,MES,0
ATZD,1,1,-1,37.9,1.686,1.530428829,Soil,MES,0
ATZD,1,1,-1,37.9,2.0948,1.73541821,Soil,MES,0
ATZME,1,-1,1,54.5,2.0979,1.736904716,Soil,MES,33.82799879
ATZME,1,-1,1,54.5,1.8523,1.616097145,Soil,MES,35.78694793
ATZME,1,-1,1,54.5,1.8649,1.622453161,Soil,MES,25.64856949
ATZME,1,-1,1,54.5,2.4907,1.918371472,Soil,MES,27.95381012
ATZME,1,-1,1,54.5,1.8136,1.596460353,Soil,MES,29.16252267
ATZME,1,-1,1,54.5,2.7419,2.028123924,Soil,MES,29.09195635
MED,-1,1,1,45.2,2.2984,1.831167344,Soil,MES,21.88679166
MED,-1,1,1,45.2,1.5863,1.477357862,Soil,MES,26.90078726
MED,-1,1,1,45.2,1.8205,1.599974314,Soil,MES,28.22946491
MED,-1,1,1,45.2,1.6197,1.495289308,Soil,MES,20.64403773
MED,-1,1,1,45.2,0.9634,1.1068446,Soil,MES,27.4451635
MED,-1,1,1,45.2,2.2634,1.814969805,Soil,MES,23.036038
ATZMED,1,1,1,68.8,0.9971,1.129099777,Soil,MES,38.68144636
ATZMED,1,1,1,68.8,2.0136,1.69614544,Soil,MES,31.7884637
ATZMED,1,1,1,68.8,1.7687,1.573455166,Soil,MES,41.979559
ATZMED,1,1,1,68.8,1.6929,1.534052174,Soil,MES,28.58488942
ATZMED,1,1,1,68.8,2.2402,1.804174989,Soil,MES,35.85513489
ATZMED,1,1,1,68.8,2.7643,2.037700821,Soil,MES,22.2331201
D,-1,1,-1,14.3,2.541,1.940708491,BCF,ATZBCF,0
D,-1,1,-1,14.3,1.9682,1.673896833,BCF,ATZBCF,0
D,-1,1,-1,14.3,2.6828,2.002696917,BCF,ATZBCF,0
D,-1,1,-1,14.3,1.6688,1.521369444,BCF,ATZBCF,0
D,-1,1,-1,14.3,2.0942,1.735130392,BCF,ATZBCF,0
D,-1,1,-1,14.3,1.7835,1.581065047,BCF,ATZBCF,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,BCF,ATZBCF,5.632605265
ATZ,1,-1,-1,23.6,2.5341,1.937655456,BCF,ATZBCF,1.283957288
ATZ,1,-1,-1,23.6,2.0332,1.705685209,BCF,ATZBCF,1.389281346
ATZ,1,-1,-1,23.6,3.6843,2.406479364,BCF,ATZBCF,1.715365044
ATZ,1,-1,-1,23.6,2.1559,1.764548385,BCF,ATZBCF,0.491774358
ATZ,1,-1,-1,23.6,2.1582,1.765638103,BCF,ATZBCF,2.139412742
ME,-1,-1,1,30.9,1.1019,1.196362878,BCF,ATZBCF,0
ME,-1,-1,1,30.9,2.9835,2.129751748,BCF,ATZBCF,0
ME,-1,-1,1,30.9,1.2984,1.315606863,BCF,ATZBCF,0
ME,-1,-1,1,30.9,2.6159,1.973627754,BCF,ATZBCF,0
ME,-1,-1,1,30.9,2.4927,1.919263229,BCF,ATZBCF,0
ME,-1,-1,1,30.9,1.2846,1.307492569,BCF,ATZBCF,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,BCF,ATZBCF,0.004098761
ATZD,1,1,-1,37.9,2.8407,2.070121781,BCF,ATZBCF,1.037897104
ATZD,1,1,-1,37.9,2.2087,1.789442601,BCF,ATZBCF,1.523899441
ATZD,1,1,-1,37.9,1.6348,1.503344888,BCF,ATZBCF,0.146037335
ATZD,1,1,-1,37.9,1.686,1.530428829,BCF,ATZBCF,1.057094753
ATZD,1,1,-1,37.9,2.0948,1.73541821,BCF,ATZBCF,0.226590993
ATZME,1,-1,1,54.5,2.0979,1.736904716,BCF,ATZBCF,0.801190381
ATZME,1,-1,1,54.5,1.8523,1.616097145,BCF,ATZBCF,0.634509267
ATZME,1,-1,1,54.5,1.8649,1.622453161,BCF,ATZBCF,0.049739744
ATZME,1,-1,1,54.5,2.4907,1.918371472,BCF,ATZBCF,1.484055031
ATZME,1,-1,1,54.5,1.8136,1.596460353,BCF,ATZBCF,0.720214714
ATZME,1,-1,1,54.5,2.7419,2.028123924,BCF,ATZBCF,0.384159698
MED,-1,1,1,45.2,2.2984,1.831167344,BCF,ATZBCF,0
MED,-1,1,1,45.2,1.5863,1.477357862,BCF,ATZBCF,0
MED,-1,1,1,45.2,1.8205,1.599974314,BCF,ATZBCF,0
MED,-1,1,1,45.2,1.6197,1.495289308,BCF,ATZBCF,0
MED,-1,1,1,45.2,0.9634,1.1068446,BCF,ATZBCF,0
MED,-1,1,1,45.2,2.2634,1.814969805,BCF,ATZBCF,0
ATZMED,1,1,1,68.8,0.9971,1.129099777,BCF,ATZBCF,0.784778428
ATZMED,1,1,1,68.8,2.0136,1.69614544,BCF,ATZBCF,0.738161715
ATZMED,1,1,1,68.8,1.7687,1.573455166,BCF,ATZBCF,0.616177975
ATZMED,1,1,1,68.8,1.6929,1.534052174,BCF,ATZBCF,1.314182978
ATZMED,1,1,1,68.8,2.2402,1.804174989,BCF,ATZBCF,0.109969106
ATZMED,1,1,1,68.8,2.7643,2.037700821,BCF,ATZBCF,3.530213764
D,-1,1,-1,14.3,2.541,1.940708491,BCF,DBCF,0.052513306
D,-1,1,-1,14.3,1.9682,1.673896833,BCF,DBCF,0.034400608
D,-1,1,-1,14.3,2.6828,2.002696917,BCF,DBCF,0.288837349
D,-1,1,-1,14.3,1.6688,1.521369444,BCF,DBCF,0.240709552
D,-1,1,-1,14.3,2.0942,1.735130392,BCF,DBCF,0.22214455
D,-1,1,-1,14.3,1.7835,1.581065047,BCF,DBCF,0.15438825
ATZ,1,-1,-1,23.6,1.7134,1.544780677,BCF,DBCF,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,BCF,DBCF,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,BCF,DBCF,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,BCF,DBCF,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,BCF,DBCF,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,BCF,DBCF,0
ME,-1,-1,1,30.9,1.1019,1.196362878,BCF,DBCF,0
ME,-1,-1,1,30.9,2.9835,2.129751748,BCF,DBCF,0
ME,-1,-1,1,30.9,1.2984,1.315606863,BCF,DBCF,0
ME,-1,-1,1,30.9,2.6159,1.973627754,BCF,DBCF,0
ME,-1,-1,1,30.9,2.4927,1.919263229,BCF,DBCF,0
ME,-1,-1,1,30.9,1.2846,1.307492569,BCF,DBCF,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,BCF,DBCF,0
ATZD,1,1,-1,37.9,2.8407,2.070121781,BCF,DBCF,0.477350006
ATZD,1,1,-1,37.9,2.2087,1.789442601,BCF,DBCF,0.152103651
ATZD,1,1,-1,37.9,1.6348,1.503344888,BCF,DBCF,0.043822622
ATZD,1,1,-1,37.9,1.686,1.530428829,BCF,DBCF,0.107687288
ATZD,1,1,-1,37.9,2.0948,1.73541821,BCF,DBCF,0.256809739
ATZME,1,-1,1,54.5,2.0979,1.736904716,BCF,DBCF,0
ATZME,1,-1,1,54.5,1.8523,1.616097145,BCF,DBCF,0
ATZME,1,-1,1,54.5,1.8649,1.622453161,BCF,DBCF,0
ATZME,1,-1,1,54.5,2.4907,1.918371472,BCF,DBCF,0
ATZME,1,-1,1,54.5,1.8136,1.596460353,BCF,DBCF,0
ATZME,1,-1,1,54.5,2.7419,2.028123924,BCF,DBCF,0
MED,-1,1,1,45.2,2.2984,1.831167344,BCF,DBCF,0.168067262
MED,-1,1,1,45.2,1.5863,1.477357862,BCF,DBCF,0.055400097
MED,-1,1,1,45.2,1.8205,1.599974314,BCF,DBCF,0.092790833
MED,-1,1,1,45.2,1.6197,1.495289308,BCF,DBCF,0.258250775
MED,-1,1,1,45.2,0.9634,1.1068446,BCF,DBCF,0.187340073
MED,-1,1,1,45.2,2.2634,1.814969805,BCF,DBCF,0.321672608
ATZMED,1,1,1,68.8,0.9971,1.129099777,BCF,DBCF,0.050650154
ATZMED,1,1,1,68.8,2.0136,1.69614544,BCF,DBCF,0.721399972
ATZMED,1,1,1,68.8,1.7687,1.573455166,BCF,DBCF,0.800781069
ATZMED,1,1,1,68.8,1.6929,1.534052174,BCF,DBCF,0.304030669
ATZMED,1,1,1,68.8,2.2402,1.804174989,BCF,DBCF,0.227357621
ATZMED,1,1,1,68.8,2.7643,2.037700821,BCF,DBCF,0.357138125
D,-1,1,-1,14.3,2.541,1.940708491,BCF,METBCF,0
D,-1,1,-1,14.3,1.9682,1.673896833,BCF,METBCF,0
D,-1,1,-1,14.3,2.6828,2.002696917,BCF,METBCF,0
D,-1,1,-1,14.3,1.6688,1.521369444,BCF,METBCF,0
D,-1,1,-1,14.3,2.0942,1.735130392,BCF,METBCF,0
D,-1,1,-1,14.3,1.7835,1.581065047,BCF,METBCF,0
ATZ,1,-1,-1,23.6,1.7134,1.544780677,BCF,METBCF,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,BCF,METBCF,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,BCF,METBCF,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,BCF,METBCF,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,BCF,METBCF,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,BCF,METBCF,0
ME,-1,-1,1,30.9,1.1019,1.196362878,BCF,METBCF,0.184582672
ME,-1,-1,1,30.9,2.9835,2.129751748,BCF,METBCF,0.042107661
ME,-1,-1,1,30.9,1.2984,1.315606863,BCF,METBCF,0.054577975
ME,-1,-1,1,30.9,2.6159,1.973627754,BCF,METBCF,0.064758752
ME,-1,-1,1,30.9,2.4927,1.919263229,BCF,METBCF,0.265610413
ME,-1,-1,1,30.9,1.2846,1.307492569,BCF,METBCF,0.105919914
ATZD,1,1,-1,37.9,3.5987,2.37394653,BCF,METBCF,0
